GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1SP,B,Wydział Nauk Pedagogicznych,Dolnośląska Szkoła Wyższa,4,1,25%,90 625 zł,"62,25",1 456 zł
HS1SP,B,Wydział Nauk o Bezpieczeństwie,"Wyższa Szkoła Oficerska Wojsk Lądowych im. Generała Tadeusza Kościuszki we Wrocławiu",2,1,50%,48 000 zł,36,1 333 zł
HS1SP,A,Wydział Studiów Edukacyjnych,Uniwersytet im. Adama Mickiewicza w Poznaniu,8,1,13%,162 120 zł,123,1 318 zł
HS1SP,B,Wydział Nauk o Wychowaniu,Uniwersytet Łódzki,6,1,17%,96 084 zł,111,866 zł
HS1SP,A,Wydział Nauk Społecznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,47,2,4%,171 860 zł,"216,5",794 zł
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,11,1,9%,82 238 zł,121,680 zł
HS1SP,B,Wydział Zamiejscowy w Sopocie,Uniwersytet SWPS,4,0,0%,0 zł,25,0 zł
HS1SP,B,Wydział Nauk Historycznych i Społecznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",3,0,0%,0 zł,148,0 zł
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Śląski w Katowicach,5,0,0%,0 zł,135,0 zł
HS1SP,B,Wydział Filozofii i Socjologii,Uniwersytet Marii Curie-Skłodowskiej,4,0,0%,0 zł,82,0 zł
HS1SP,B,Wydział Etnologii i Nauk o Edukacji w Cieszynie,Uniwersytet Śląski w Katowicach,7,0,0%,0 zł,84,0 zł
HS1SP,B,"Wydział Pedagogiki, Socjologii i Nauk o Zdrowiu",Uniwersytet Zielonogórski,14,0,0%,0 zł,106,0 zł
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Kazimierza Wielkiego,6,0,0%,0 zł,90,0 zł
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Marii Curie-Skłodowskiej,11,0,0%,0 zł,119,0 zł
HS1SP,B,Wydział Pedagogiczny,Uniwersytet Warszawski,7,0,0%,0 zł,51,0 zł
HS1SP,A,Wydział Nauk Pedagogicznych,Uniwersytet Mikołaja Kopernika w Toruniu,3,0,0%,0 zł,"51,5",0 zł
